setting,pong_mAP,aqe_dba_mAP,delta_mAP_pp,pong_NDCG@100,aqe_dba_NDCG@100,delta_NDCG_pp,pong_ANMRR,aqe_dba_ANMRR,delta_ANMRR_pp
CLIP_L14_esb,0.6302641824188077,0.5966501183806658,3.361406403814182,0.25282682875648843,0.24674279655262896,0.6084032203859474,0.4278649057752683,0.45843217625364086,-3.0567270478372546
OpenCLIP_L14_esb,0.6981456766147937,0.670639899554416,2.75057770603776,0.27097403724668656,0.2663167109543028,0.46573262923837455,0.35645637236577427,0.38562582283987434,-2.9169450474100076
DINOv2_esb,0.6241169216445098,0.5996934277085241,2.442349393598575,0.24956848609220736,0.24336574583177253,0.6202740260434825,0.4295753137011744,0.45194357330635054,-2.2368259605176135
CLIP_L14_ntu,0.6289085186505249,0.6145699468402052,1.4338571810319722,0.27366429800398434,0.2714073718417381,0.22569261622462644,0.40803121812187293,0.4266873396016531,-1.8656121479780186
OpenCLIP_L14_ntu,0.7008584664549247,0.6704275341743289,3.043093228059579,0.29180743397027564,0.28748216230465057,0.43252716656250745,0.33150033316942523,0.37895873104222355,-4.745839787279832
DINOv2_ntu,0.6606099330727522,0.6345836992826679,2.6026233790084286,0.281180526839193,0.274337106696598,0.684342014259498,0.37857971199367163,0.4028104059055275,-2.4230693911855896
CLIP_L14_abo,0.6563577852919776,0.6673634525685868,-1.1005667276609121,0.5770988478742007,0.5812013221792373,-0.41024743050365187,0.3608631742805084,0.34613320298580075,1.4729971294707656
OpenCLIP_L14_abo,0.7046973814842294,0.7141997139546055,-0.9502332470376018,0.5889731358125629,0.5926357079605235,-0.3662572147960508,0.31928912090695877,0.3057800528726161,1.3509068034342653
DINOv2_abo,0.6763183035409851,0.6894589647339486,-1.3140661192963532,0.5814958546476031,0.5858681640499279,-0.4372309402324803,0.3546953947380551,0.34105297056955836,1.3642424168496758
CLIP_L14_mn40,0.6704869373353718,0.6413180097787076,2.9168927556664226,0.7562316011325902,0.7373583357296877,1.8873265402902573,0.3509471032632126,0.38038949239672254,-2.944238913350994
OpenCLIP_L14_mn40,0.7608242204852748,0.7439746504519809,1.6849570033293904,0.8114536241604426,0.8057823786009021,0.5671245559540572,0.270783107265255,0.2854936300269567,-1.4710522761701705
DINOv2_mn40,0.716823870494637,0.707824883833337,0.8998986661300057,0.7855812652465206,0.7831156719197802,0.24655933267404562,0.3156281362528831,0.3236184596237348,-0.7990323370851704
