setting,backbone,dataset,grid_index,mAP,topk,tau,lam_min,lam_max,n_iter
CLIP_L14_esb,CLIP_L14,esb,8,0.624792427125211,5,0.2,0.0,0.9,2
CLIP_L14_esb,CLIP_L14,esb,9,0.631843006119644,5,0.2,0.1,0.5,2
CLIP_L14_esb,CLIP_L14,esb,10,0.6307148237236896,5,0.2,0.1,0.7,2
CLIP_L14_esb,CLIP_L14,esb,11,0.6246664809940389,5,0.2,0.1,0.9,2
CLIP_L14_esb,CLIP_L14,esb,12,0.6193220578250818,7,0.1,0.0,0.5,2
CLIP_L14_esb,CLIP_L14,esb,13,0.6202157189218429,7,0.1,0.0,0.7,2
CLIP_L14_esb,CLIP_L14,esb,14,0.6140243122663959,7,0.1,0.0,0.9,2
CLIP_L14_esb,CLIP_L14,esb,15,0.6192036066675974,7,0.1,0.1,0.5,2
CLIP_L14_esb,CLIP_L14,esb,16,0.6198206120600349,7,0.1,0.1,0.7,2
CLIP_L14_esb,CLIP_L14,esb,17,0.6142791578383946,7,0.1,0.1,0.9,2
CLIP_L14_esb,CLIP_L14,esb,18,0.6211638710185883,7,0.2,0.0,0.5,2
CLIP_L14_esb,CLIP_L14,esb,19,0.6217266945066053,7,0.2,0.0,0.7,2
CLIP_L14_esb,CLIP_L14,esb,20,0.6132264858043952,7,0.2,0.0,0.9,2
CLIP_L14_esb,CLIP_L14,esb,21,0.6244208516219706,7,0.2,0.1,0.5,2
CLIP_L14_esb,CLIP_L14,esb,22,0.6215661579937296,7,0.2,0.1,0.7,2
CLIP_L14_esb,CLIP_L14,esb,23,0.6139459474819576,7,0.2,0.1,0.9,2
CLIP_L14_esb,CLIP_L14,esb,24,0.6144091197411015,10,0.1,0.0,0.5,2
CLIP_L14_esb,CLIP_L14,esb,25,0.6157420557590839,10,0.1,0.0,0.7,2
CLIP_L14_esb,CLIP_L14,esb,26,0.6046567443340796,10,0.1,0.0,0.9,2
CLIP_L14_esb,CLIP_L14,esb,27,0.6150477060115854,10,0.1,0.1,0.5,2
CLIP_L14_esb,CLIP_L14,esb,28,0.6142677782336537,10,0.1,0.1,0.7,2
CLIP_L14_esb,CLIP_L14,esb,29,0.6020616646955477,10,0.1,0.1,0.9,2
CLIP_L14_esb,CLIP_L14,esb,30,0.6154224908241462,10,0.2,0.0,0.5,2
CLIP_L14_esb,CLIP_L14,esb,31,0.6167324785436422,10,0.2,0.0,0.7,2
CLIP_L14_esb,CLIP_L14,esb,32,0.6006276675764236,10,0.2,0.0,0.9,2
CLIP_L14_esb,CLIP_L14,esb,33,0.6166406332218534,10,0.2,0.1,0.5,2
