backbone,dataset,Nq,Nt,dimension,estimated_working_memory_mb,q_similarity_ms,q_topk_ms,q_update_ms,t_similarity_ms,t_topk_ms,t_update_ms,final_retrieval_ms,total_ms
CLIP_L14,esb,120,452,768,8.5037841796875,2.7091509982710704,1.3509830023394898,2.24139199781348,2.5216970025212504,1.7436460002500098,6.031556000380078,1.3236980012152344,17.843433011876186
CLIP_L14,ntu,270,1271,768,24.44190216064453,15.226797004288528,5.687910001142882,7.434862996888114,14.601151997339912,10.898107997491024,33.947202002309496,7.580999001220334,95.43858500182978
CLIP_L14,abo,85,5455,768,97.90647506713867,26.05365899944445,5.7630390001577325,2.1991570029058494,24.428132997854846,18.57972399739083,123.1730260005861,12.468380999052897,212.74646099482197
CLIP_L14,mn40,160,9329,768,170.1490478515625,66.17810900206678,17.412653000064893,3.465847999905236,62.119686997903045,70.20224900043104,223.4400109955459,32.58289999939734,475.34729900507955
OpenCLIP_L14,esb,120,452,768,8.5037841796875,2.6816589997906704,1.360738002404105,2.1763169970654417,2.5196379974659067,1.7598269987502135,5.969191999611212,1.3122329983161762,17.79776199691696
OpenCLIP_L14,ntu,270,1271,768,24.44190216064453,15.214266997645609,5.51992100008647,4.743453002447495,14.616535998356994,10.206871997070266,18.404858001304092,7.545246997324284,76.30714399783756
OpenCLIP_L14,abo,85,5455,768,97.90647506713867,26.1612169961154,5.925214001763379,2.196092998929089,24.516276997019304,18.586796999443322,118.92763099967851,12.58933500139392,208.9275709913636
OpenCLIP_L14,mn40,160,9329,768,170.1490478515625,65.59976499920595,18.23804199739243,3.351649003889179,62.87732699638582,65.98596500043641,223.41962299469742,33.31924399753916,472.79820799667505
DINOv2,esb,120,452,768,8.5037841796875,2.688918000785634,1.3887019995308947,2.213062998634996,2.5202500000887085,1.7527349991723895,5.931281997618498,1.3150720005796757,17.7706950053107
DINOv2,ntu,270,1271,768,24.44190216064453,15.187195996986702,5.8012820009025745,4.689678997237934,14.691636999486946,10.45185599650722,18.59103799870354,7.529287999204826,76.89867899534875
DINOv2,abo,85,5455,768,97.90647506713867,25.99474299859139,5.819446996611077,2.165695001167478,24.40884500174434,18.59549899745616,118.40589500206988,12.747102999128401,208.1929440064414
DINOv2,mn40,160,9329,768,170.1490478515625,65.80712600043626,17.54279399756342,3.355921002366813,63.071527001739014,65.77994400140597,224.10615799890365,33.31048000109149,472.8105800058984
