setting,sigma,seed,baseline_mAP,pong_mAP,delta_mAP_pp
CLIP_L14_esb,0.02,11,0.52622005353723,0.6055442370508504,7.9324183513620365
CLIP_L14_esb,0.02,29,0.5344333259159527,0.6329474949137555,9.851416899780274
CLIP_L14_esb,0.02,47,0.5232675626268127,0.6105714535802381,8.730389095342538
CLIP_L14_esb,0.05,11,0.3072941124100874,0.39959700175213175,9.230288934204435
CLIP_L14_esb,0.05,29,0.30397866853470473,0.4009191123600863,9.69404438253816
CLIP_L14_esb,0.05,47,0.30017706140009415,0.3983967079736173,9.821964657352316
CLIP_L14_ntu,0.02,11,0.5541265630602784,0.6232375128700415,6.911094980976307
CLIP_L14_ntu,0.02,29,0.5562641923083803,0.6243905453464534,6.812635303807313
CLIP_L14_ntu,0.02,47,0.5580341313923266,0.6244411302129602,6.640699882063361
CLIP_L14_ntu,0.05,11,0.3111829990786727,0.4240091684437976,11.28261693651249
CLIP_L14_ntu,0.05,29,0.3234824844649085,0.4416645998971889,11.818211543228042
CLIP_L14_ntu,0.05,47,0.3245577620807917,0.43768314019224697,11.312537811145528
CLIP_L14_abo,0.02,11,0.563509132167082,0.6422542798623647,7.874514769528274
CLIP_L14_abo,0.02,29,0.5695824134164739,0.6477420823391893,7.8159668922715415
CLIP_L14_abo,0.02,47,0.5613174401813286,0.6464056980271087,8.508825784578011
CLIP_L14_abo,0.05,11,0.32122329509854275,0.4772441804368158,15.602088533827308
CLIP_L14_abo,0.05,29,0.3379284849967479,0.476756813038675,13.882832804192713
CLIP_L14_abo,0.05,47,0.3282849543659226,0.46184720547245106,13.356225110652847
CLIP_L14_mn40,0.02,11,0.48392494949590886,0.6481850578669329,16.426010837102407
CLIP_L14_mn40,0.02,29,0.4852162926597308,0.6500576264302073,16.484133377047645
CLIP_L14_mn40,0.02,47,0.4847142431145734,0.6445748562571888,15.98606131426154
CLIP_L14_mn40,0.05,11,0.232548116716202,0.38152705526413755,14.897893854793553
CLIP_L14_mn40,0.05,29,0.23226598195664327,0.39002334571991504,15.775736376327176
CLIP_L14_mn40,0.05,47,0.2301302373788042,0.3778141636331924,14.768392625438823
OpenCLIP_L14_esb,0.02,11,0.6043028151011354,0.690131445183139,8.58286300820036
OpenCLIP_L14_esb,0.02,29,0.6019332651365783,0.6789885132203773,7.705524808379904
OpenCLIP_L14_esb,0.02,47,0.5937968331209914,0.6746690608908208,8.087222776982939
OpenCLIP_L14_esb,0.05,11,0.43042719754953596,0.5310508411890165,10.062364363948051
OpenCLIP_L14_esb,0.05,29,0.40957957722934685,0.5214472842735937,11.186770704424681
OpenCLIP_L14_esb,0.05,47,0.408940844242665,0.5095682121405424,10.062736789787735
OpenCLIP_L14_ntu,0.02,11,0.6279242384429021,0.6938571415876317,6.593290314472955
OpenCLIP_L14_ntu,0.02,29,0.6263148667513811,0.6941798529345278,6.7864986183146625
OpenCLIP_L14_ntu,0.02,47,0.6290228172808726,0.6945288750700479,6.550605778917529
OpenCLIP_L14_ntu,0.05,11,0.4218041214850248,0.5481926139795243,12.638849249449958
OpenCLIP_L14_ntu,0.05,29,0.42881953415085855,0.5547445002734148,12.592496612255626
OpenCLIP_L14_ntu,0.05,47,0.4324462982312428,0.5528151660367714,12.036886780552859
OpenCLIP_L14_abo,0.02,11,0.6123111033478039,0.6921829887556897,7.987188540788582
OpenCLIP_L14_abo,0.02,29,0.6140633205946905,0.7036963281186676,8.963300752397707
OpenCLIP_L14_abo,0.02,47,0.6145645407548886,0.6931637103743483,7.8599169619459675
OpenCLIP_L14_abo,0.05,11,0.4426891132492669,0.5847370266361299,14.2047913386863
OpenCLIP_L14_abo,0.05,29,0.4446634249412246,0.5825121799788234,13.78487550375988
OpenCLIP_L14_abo,0.05,47,0.44087400907135454,0.5775074207273171,13.663341165596254
OpenCLIP_L14_mn40,0.02,11,0.644278846866049,0.757936516853771,11.365766998772198
OpenCLIP_L14_mn40,0.02,29,0.6427688731351687,0.7532108834713879,11.044201033621913
