variant,mean_mAP,delta_over_baseline_pp
baseline,0.6050473159871966,0.0
query_only,0.6221139293644931,1.7066613377296425
target_only,0.6522207022105132,4.717338622331657
simultaneous,0.6711502233800658,6.610290739286917
alternating_fixed,0.6724520204655707,6.74047044783741
pong_adaptive,0.6773676969560535,7.2320380968856846
